question,model_short,gold_short,is_correct
"In a premenopausal woman with high-risk breast cancer who has failed ovarian suppression with goserelin, what is the most appropriate next-line treatment strategy?",Oophorectomy,triptorelin,False
"For a 45-year-old woman with type II diabetes and primary hyperparathyroidism who develops Langerhans cell sarcoma with cutaneous involvement only, what is the most appropriate treatment strategy based on the molecular pathogenesis of her disease?","BRAF(V600E) mutation testing and targeted therapy with BRAF inhibitors (e.g., vemurafenib, dabrafenib)",BRAF V600E mutation-targeted therapy,True
A 67-year-old woman with a history of endometrial cancer diagnosed at age 62 presents for routine follow-up. What is the recommended colorectal cancer screening test according to guidelines?,Colonoscopy,colonoscopy,True
"For a patient with metastatic Merkel cell carcinoma of the liver and a pacemaker, which diagnostic test would be most appropriate to assess for somatostatin receptor expression?",68Ga DOTATATE PET/CT,Somatostatin receptor PET scan,True
"For a patient with upper tract urothelial carcinoma with sarcomatoid differentiation and a history of horseshoe kidney, what is the most appropriate adjuvant treatment strategy?","Adjuvant chemotherapy with the methotrexate, vinblastine, doxorubicin, cisplatin (MVAC) regimen",Adjuvant immunotherapy,False
What is the most appropriate adjuvant therapy for a 68-year-old female with a history of duodenal papilla adenocarcinoma who has been diagnosed with a non-muscle-invasive bladder tumor (stage 0a) after transurethral resection?,Intravesical chemotherapy,Intravesical chemotherapy,True
What is the most appropriate treatment strategy for a patient with leptomeningeal metastases from breast cancer who has a good performance status and has previously responded to endocrine therapy?,"Combination of intra-CSF chemotherapy, systemic therapy, and radiotherapy",Abemaciclib plus endocrine therapy,False
What is the most appropriate diagnostic scoring system to use for evaluating adrenocortical tumors in a 53-month-old female with elevated estradiol and a right adrenal mass?,There is insufficient information to determine the most appropriate diagnostic scoring system for evaluating adrenocortical tumors in this patient.,Wieneke index score,False
"For a patient with stage IVb lung adenocarcinoma and suspected secondary myelodysplastic syndrome (MDS) who has an EGFR exon 19 deletion mutation and SF3B1 mutation, what is the most appropriate diagnostic test to confirm the MDS diagnosis?",Bone marrow aspiration and biopsy with cytogenetic and molecular genetic analysis,Two-step sequencing approach combining Sanger and NGS methods,True
"In a patient with acute necrotizing fasciitis of the head and neck region and multi-organ dysfunction syndrome, what is the most appropriate diagnostic test to identify the causative organism when initial blood cultures are negative?",Cartridge-based nucleic acid amplification test (CBNAAT) and Ziehl-Neelsen (ZN) staining of pathological tissue,Cartridge-based nucleic acid amplification test (CBNAAT),True
"For a patient with a history of neuroendocrine carcinoma of the lung and brain metastases, what is the most appropriate treatment approach when the patient has a Karnofsky Performance Scale of 80% and no evidence of extracranial metastatic disease?",Cisplatin/docetaxel/temozolomide combination chemotherapy,Stereotactic radiosurgery with LINAC-based VMAT technique (HyperArc),False
What is the most appropriate first-line chemotherapy regimen for a 44-year-old female with multi-system Langerhans cell histiocytosis involving both skin and urothelial tissue?,Prednisolone and vinblastine-based chemotherapy,prednisolone and vinblastine-based chemotherapy,True
"In a patient with a history of lung adenocarcinoma with PD-L1 TPS of 90% who develops gastric metastases, what is the most appropriate first-line treatment?",Pembrolizumab,pembrolizumab,True
"What is the most appropriate diagnostic test to differentiate between reactive lymphoid hyperplasia and hepatocellular carcinoma in a 77-year-old woman with multiple liver lesions showing arterial enhancement and FDG uptake on PET-CT, but normal tumor markers and no history of liver disease?",Liver biopsy,Immunohistochemical analysis with assessment of lymphocyte clonality,False
