question,model_short,gold_short,is_correct_semantic,is_correct
"In a premenopausal woman with high-risk breast cancer who has failed ovarian suppression with goserelin, what is the most appropriate next-line treatment strategy?",Oophorectomy,triptorelin,False,False
"For a 45-year-old woman with type II diabetes and primary hyperparathyroidism who develops Langerhans cell sarcoma with cutaneous involvement only, what is the most appropriate treatment strategy based on the molecular pathogenesis of her disease?",High-dose methotrexate-based chemotherapy with prednisone and vinblastine,BRAF V600E mutation-targeted therapy,False,False
A 67-year-old woman with a history of endometrial cancer diagnosed at age 62 presents for routine follow-up. What is the recommended colorectal cancer screening test according to guidelines?,Colonoscopy,colonoscopy,True,True
"For a patient with metastatic Merkel cell carcinoma of the liver and a pacemaker, which diagnostic test would be most appropriate to assess for somatostatin receptor expression?",68Ga DOTATATE PET/CT,Somatostatin receptor PET scan,True,True
"For a patient with upper tract urothelial carcinoma with sarcomatoid differentiation and a history of horseshoe kidney, what is the most appropriate adjuvant treatment strategy?","Adjuvant chemotherapy with a platinum-based regimen (e.g., cisplatin and gemcitabine) following radical nephroureterectomy",Adjuvant immunotherapy,False,False
What is the most appropriate adjuvant therapy for a 68-year-old female with a history of duodenal papilla adenocarcinoma who has been diagnosed with a non-muscle-invasive bladder tumor (stage 0a) after transurethral resection?,Intravesical chemotherapy,Intravesical chemotherapy,True,True
What is the most appropriate treatment strategy for a patient with leptomeningeal metastases from breast cancer who has a good performance status and has previously responded to endocrine therapy?,"Systemic therapy with intrathecal chemotherapy and/or targeted systemic therapy, combined with radiotherapy for symptomatic relief",Abemaciclib plus endocrine therapy,False,False
What is the most appropriate diagnostic scoring system to use for evaluating adrenocortical tumors in a 53-month-old female with elevated estradiol and a right adrenal mass?,Weiss score,Wieneke index score,False,False
"For a patient with stage IVb lung adenocarcinoma and suspected secondary myelodysplastic syndrome (MDS) who has an EGFR exon 19 deletion mutation and SF3B1 mutation, what is the most appropriate diagnostic test to confirm the MDS diagnosis?",Bone marrow biopsy with histopathological examination and cytogenetic analysis,Two-step sequencing approach combining Sanger and NGS methods,False,False
"In a patient with acute necrotizing fasciitis of the head and neck region and multi-organ dysfunction syndrome, what is the most appropriate diagnostic test to identify the causative organism when initial blood cultures are negative?",Tissue culture from debrided necrotic fascia,Cartridge-based nucleic acid amplification test (CBNAAT),False,False
"For a patient with a history of neuroendocrine carcinoma of the lung and brain metastases, what is the most appropriate treatment approach when the patient has a Karnofsky Performance Scale of 80% and no evidence of extracranial metastatic disease?",Stereotactic radiosurgery (SRS),Stereotactic radiosurgery with LINAC-based VMAT technique (HyperArc),True,True
What is the most appropriate first-line chemotherapy regimen for a 44-year-old female with multi-system Langerhans cell histiocytosis involving both skin and urothelial tissue?,Systemic treatment with steroids and vinblastine for 12 months,prednisolone and vinblastine-based chemotherapy,True,True
"In a patient with a history of lung adenocarcinoma with PD-L1 TPS of 90% who develops gastric metastases, what is the most appropriate first-line treatment?",Pembrolizumab,pembrolizumab,True,True
"What is the most appropriate diagnostic test to differentiate between reactive lymphoid hyperplasia and hepatocellular carcinoma in a 77-year-old woman with multiple liver lesions showing arterial enhancement and FDG uptake on PET-CT, but normal tumor markers and no history of liver disease?",Liver biopsy with histopathological and immunohistochemical analysis,Immunohistochemical analysis with assessment of lymphocyte clonality,True,True
"For a 65-year-old male with relapsed AML who initially responded to venetoclax-azacitidine but then progressed, what alternative targeted therapy should be considered given the monocytic differentiation pattern identified at relapse?",Venetoclax combined with decitabine,MCL1 inhibitor,False,False
"For a patient with Sézary syndrome who has developed chronic graft-versus-host disease affecting the ocular mucosa and liver after allogeneic hematopoietic stem cell transplantation, what is the most appropriate targeted therapy to add to the existing immunosuppressive regimen?",Ruxolitinib,ruxolitinib,True,True
"What is the most appropriate diagnostic test to confirm a diagnosis of diffuse leptomeningeal glioneuronal tumor in a child with leptomeningeal enhancement, cystic lesions, and a history of tuberculous meningitis?",Meningeal biopsy with histopathological and immunohistochemical analysis,Histopathological examination with immunohistochemical studies for S100 and synaptophysin,True,True
A 61-year-old male with BRAF/NRAS wild-type metastatic melanoma develops pericardial effusion with early tamponade during ipilimumab/nivolumab therapy while being treated for a cerebral abscess with IV cephalothin. What is the most appropriate initial treatment for this immune checkpoint inhibitor-induced pericarditis?,"Aggressive diuresis, colchicine, and ibuprofen",Colchicine and ibuprofen,False,False
